Temps (ms), Température (°C), Humidité (%), Pression (hPa), TVOC (ppb), eCO2 (ppm), Latitude, Longitude
479494,4.31,64.25,993.95,20,442,48.842528,2.613805
480580,4.3,64.25,993.95,13,440,48.842506,2.613784
481669,4.31,64.21,993.93,10,438,48.842483,2.613763
482755,4.32,64.43,993.9,19,448,48.842462,2.613741
483841,4.34,64.42,993.93,24,452,48.842443,2.613731
484927,4.34,64.29,993.88,23,443,48.84242,2.613727
486013,4.34,64.2,993.93,20,423,48.842376,2.613713
487099,4.36,64.2,993.9,21,405,48.842355,2.613712
488185,4.34,64.14,993.9,3,400,48.842331,2.613715
489271,4.33,64.09,994.0,0,400,48.842307,2.613717
490357,4.3,64.13,994.0,0,400,48.842285,2.61371
491445,4.28,64.05,993.95,0,400,48.842261,2.613705
492531,4.27,64.08,993.95,0,400,48.842233,2.613695
493617,4.31,64.23,993.93,0,400,48.842199,2.613691
494703,4.31,64.03,993.95,0,400,48.842167,2.613698
495789,4.3,64.25,993.9,0,400,48.842136,2.613704
496875,4.3,64.16,993.95,0,400,48.842106,2.613707
497961,4.28,64.14,993.9,0,400,48.842047,2.613714
499047,4.29,64.24,993.98,0,400,48.842018,2.613713
500133,4.3,64.18,993.9,0,400,48.841989,2.613714
501221,4.3,64.19,993.88,0,400,48.841961,2.613717
502307,4.29,64.15,993.85,0,400,48.841937,2.613719
503393,4.27,64.14,993.88,0,400,48.841917,2.613724
504479,4.25,64.14,993.93,0,400,48.8419,2.613728
505565,4.24,64.28,993.95,0,400,48.841881,2.613729
506651,4.24,64.31,993.98,0,400,48.841868,2.613727
507737,4.22,63.96,994.03,0,400,48.841864,2.613709
508823,4.22,64.17,994.0,0,400,48.841866,2.613684
509909,4.2,64.33,994.08,0,400,48.841869,2.613658
510998,4.18,64.4,994.0,0,400,48.841856,2.61359
512084,4.18,64.27,994.05,0,400,48.841832,2.613531
513170,4.16,64.38,994.1,0,400,48.841819,2.613474
514256,4.14,64.51,994.15,0,400,48.841807,2.61342
515342,4.13,64.43,994.15,0,400,48.841792,2.613369
516428,4.1,64.56,994.2,0,400,48.841778,2.613326
517514,4.08,64.5,994.13,0,400,48.841755,2.613293
518600,4.05,64.25,994.28,0,400,48.841735,2.613268
